CH1,CH2,CH3
-0.0814,2,0.64
-0.0813,2,0.64
-0.0812,2.04,0.64
-0.0811,2.04,0.64
-0.081,2.04,0.64
-0.0809,2.04,0.64
-0.0808,2.08,0.64
-0.0807,2.08,0.64
-0.0806,2.08,0.64
-0.0805,2.12,0.64
-0.0804,2.12,0.64
-0.0803,2.12,0.64
-0.0802,2.12,0.64
-0.0801,2.12,0.64
-0.08,2.16,0.64
-0.0799,2.16,0.64
-0.0798,2.16,0.64
-0.0797,2.16,0.64
-0.0796,2.16,0.64
-0.0795,2.16,0.64
-0.0794,2.2,0.64
-0.0793,2.2,0.64
-0.0792,2.2,0.64
-0.0791,2.24,0.68
-0.079,2.24,0.64
-0.0789,2.24,0.64
-0.0788,2.24,0.64
-0.0787,2.24,0.64
-0.0786,2.28,0.64
-0.0785,2.24,0.64
-0.0784,2.28,0.64
-0.0783,2.32,0.64
-0.0782,2.32,0.64
-0.0781,2.32,0.64
-0.078,2.32,0.64
-0.0779,2.36,0.64
-0.0778,2.36,0.64
-0.0777,2.36,0.64
-0.0776,2.4,0.64
-0.0775,2.4,0.64
-0.0774,2.4,0.64
-0.0773,2.4,0.64
-0.0772,2.4,0.64
-0.0771,2.4,0.64
-0.077,2.44,0.64
-0.0769,2.44,0.64
-0.0768,2.44,0.64
-0.0767,2.44,0.64
-0.0766,2.48,0.68
-0.0765,2.48,0.64
-0.0764,2.48,0.64
-0.0763,2.48,0.68
-0.0762,2.48,0.64
-0.0761,2.44,0.64
-0.076,2.44,0.64
-0.0759,2.44,0.68
-0.0758,2.44,0.68
-0.0757,2.44,0.64
-0.0756,2.44,0.64
-0.0755,2.4,0.64
-0.0754,2.4,0.64
-0.0753,2.36,0.64
-0.0752,2.36,0.64
-0.0751,2.36,0.64
-0.075,2.36,0.64
-0.0749,2.32,0.64
-0.0748,2.32,0.64
-0.0747,2.28,0.64
-0.0746,2.28,0.64
-0.0745,2.28,0.64
-0.0744,2.28,0.64
-0.0743,2.28,0.64
-0.0742,2.28,0.64
-0.0741,2.24,0.64
-0.074,2.24,0.64
-0.0739,2.2,0.64
-0.0738,2.24,0.64
-0.0737,2.2,0.64
-0.0736,2.2,0.64
-0.0735,2.2,0.64
-0.0734,2.2,0.64
-0.0733,2.16,0.64
-0.0732,2.16,0.64
-0.0731,2.16,0.64
-0.073,2.16,0.64
-0.0729,2.12,0.64
-0.0728,2.12,0.64
-0.0727,2.12,0.64
-0.0726,2.12,0.64
-0.0725,2.12,0.64
-0.0724,2.08,0.64
-0.0723,2.08,0.64
-0.0722,2.08,0.64
-0.0721,2.08,0.64
-0.072,2.08,0.64
-0.0719,2.04,0.64
-0.0718,2.04,0.64
-0.0717,2.04,0.64
-0.0716,2.04,0.64
-0.0715,2,0.64
-0.0714,2,0.64
-0.0713,2,0.64
-0.0712,2,0.64
-0.0711,1.96,0.64
-0.071,1.92,0.64
-0.0709,1.96,0.64
-0.0708,1.92,0.64
-0.0707,1.92,0.64
-0.0706,1.92,0.64
-0.0705,1.92,0.64
-0.0704,1.88,0.64
-0.0703,1.88,0.64
-0.0702,1.88,0.64
-0.0701,1.88,0.64
-0.07,1.84,0.64
-0.0699,1.84,0.64
-0.0698,1.84,0.6
-0.0697,1.8,0.64
-0.0696,1.8,0.64
-0.0695,1.8,0.64
-0.0694,1.76,0.64
-0.0693,1.8,0.64
-0.0692,1.8,0.64
-0.0691,1.76,0.64
-0.069,1.76,0.64
-0.0689,1.76,0.6
-0.0688,1.72,0.6
-0.0687,1.72,0.64
-0.0686,1.72,0.6
-0.0685,1.72,0.64
-0.0684,1.68,0.6
-0.0683,1.68,0.64
-0.0682,1.68,0.64
-0.0681,1.68,0.64
-0.068,1.64,0.64
-0.0679,1.64,0.6
-0.0678,1.6,0.64
-0.0677,1.64,0.6
-0.0676,1.6,0.64
-0.0675,1.6,0.6
-0.0674,1.6,0.64
-0.0673,1.6,0.64
-0.0672,1.56,0.6
-0.0671,1.56,0.6
-0.067,1.56,0.6
-0.0669,1.52,0.64
-0.0668,1.52,0.64
-0.0667,1.52,0.6
-0.0666,1.52,0.64
-0.0665,1.52,0.64
-0.0664,1.48,0.6
-0.0663,1.48,0.6
-0.0662,1.44,0.6
-0.0661,1.48,0.6
-0.066,1.44,0.6
-0.0659,1.44,0.64
-0.0658,1.44,0.6
-0.0657,1.4,0.6
-0.0656,1.44,0.6
-0.0655,1.4,0.6
-0.0654,1.4,0.6
-0.0653,1.36,0.6
-0.0652,1.4,0.64
-0.0651,1.36,0.6
-0.065,1.36,0.6
-0.0649,1.36,0.6
-0.0648,1.32,0.6
-0.0647,1.32,0.6
-0.0646,1.32,0.6
-0.0645,1.32,0.6
-0.0644,1.32,0.64
-0.0643,1.28,0.6
-0.0642,1.28,0.6
-0.0641,1.28,0.64
-0.064,1.24,0.6
-0.0639,1.24,0.6
-0.0638,1.24,0.6
-0.0637,1.24,0.56
-0.0636,1.24,0.6
-0.0635,1.2,0.6
-0.0634,1.2,0.56
-0.0633,1.2,0.6
-0.0632,1.2,0.6
-0.0631,1.16,0.6
-0.063,1.16,0.6
-0.0629,1.16,0.6
-0.0628,1.12,0.6
-0.0627,1.12,0.6
-0.0626,1.12,0.6
-0.0625,1.12,0.6
-0.0624,1.08,0.56
-0.0623,1.08,0.6
-0.0622,1.08,0.56
-0.0621,1.08,0.6
-0.062,1.08,0.6
-0.0619,1.08,0.56
-0.0618,1.04,0.6
-0.0617,1.04,0.52
-0.0616,1.04,0.56
-0.0615,1,0.56
-0.0614,1,0.6
-0.0613,1,0.56
-0.0612,1,0.56
-0.0611,0.96,0.6
-0.061,0.96,0.56
-0.0609,0.96,0.56
-0.0608,0.92,0.56
-0.0607,0.92,0.56
-0.0606,0.92,0.56
-0.0605,0.92,0.6
-0.0604,0.88,0.56
-0.0603,0.88,0.56
-0.0602,0.88,0.56
-0.0601,0.88,0.56
-0.06,0.88,0.56
-0.0599,0.88,0.56
-0.0598,0.88,0.56
-0.0597,0.84,0.56
-0.0596,0.88,0.52
-0.0595,0.84,0.56
-0.0594,0.8,0.56
-0.0593,0.8,0.56
-0.0592,0.8,0.52
-0.0591,0.8,0.52
-0.059,0.76,0.52
-0.0589,0.76,0.52
-0.0588,0.76,0.56
-0.0587,0.76,0.52
-0.0586,0.76,0.52
-0.0585,0.72,0.52
-0.0584,0.72,0.52
-0.0583,0.68,0.52
-0.0582,0.72,0.52
-0.0581,0.68,0.52
-0.058,0.68,0.52
-0.0579,0.68,0.52
-0.0578,0.68,0.52
-0.0577,0.64,0.52
-0.0576,0.64,0.52
-0.0575,0.6,0.52
-0.0574,0.6,0.52
-0.0573,0.6,0.48
-0.0572,0.6,0.52
-0.0571,0.56,0.48
-0.057,0.56,0.48
-0.0569,0.56,0.52
-0.0568,0.56,0.48
-0.0567,0.56,0.48
-0.0566,0.52,0.48
-0.0565,0.52,0.48
-0.0564,0.52,0.48
-0.0563,0.52,0.44
-0.0562,0.48,0.48
-0.0561,0.48,0.48
-0.056,0.48,0.48
-0.0559,0.48,0.44
-0.0558,0.44,0.44
-0.0557,0.44,0.44
-0.0556,0.44,0.44
-0.0555,0.44,0.4
-0.0554,0.4,0.4
-0.0553,0.4,0.4
-0.0552,0.4,0.4
-0.0551,0.4,0.4
-0.055,0.36,0.36
-0.0549,0.4,0.36
-0.0548,0.36,0.36
-0.0547,0.36,0.36
-0.0546,0.32,0.32
-0.0545,0.32,0.32
-0.0544,0.32,0.32
-0.0543,0.28,0.28
-0.0542,0.28,0.28
-0.0541,0.28,0.28
-0.054,0.28,0.28
-0.0539,0.24,0.24
-0.0538,0.24,0.24
-0.0537,0.24,0.24
-0.0536,0.24,0.24
-0.0535,0.24,0.24
-0.0534,0.2,0.24
-0.0533,0.2,0.2
-0.0532,0.2,0.2
-0.0531,0.16,0.2
-0.053,0.16,0.16
-0.0529,0.16,0.16
-0.0528,0.12,0.16
-0.0527,0.16,0.12
-0.0526,0.12,0.12
-0.0525,0.12,0.12
-0.0524,0.12,0.12
-0.0523,0.08,0.12
-0.0522,0.08,0.08
-0.0521,0.08,0.08
-0.052,0.08,0.08
-0.0519,0.08,0.04
-0.0518,0.04,0.04
-0.0517,0.04,0.04
-0.0516,0.04,0.04
-0.0515,0.04,0.04
-0.0514,0,0
-0.0513,0,-0.04
-0.0512,0,0
-0.0511,0,-0.04
-0.051,0,-0.04
-0.0509,-0.04,-0.04
-0.0508,-0.04,-0.04
-0.0507,-0.08,-0.04
-0.0506,-0.04,-0.08
-0.0505,-0.08,-0.08
-0.0504,-0.12,-0.08
-0.0503,-0.12,-0.12
-0.0502,-0.12,-0.12
-0.0501,-0.12,-0.12
-0.05,-0.12,-0.12
-0.0499,-0.16,-0.16
-0.0498,-0.16,-0.16
-0.0497,-0.16,-0.16
-0.0496,-0.2,-0.16
-0.0495,-0.2,-0.2
-0.0494,-0.2,-0.2
-0.0493,-0.24,-0.2
-0.0492,-0.2,-0.2
-0.0491,-0.2,-0.24
-0.049,-0.24,-0.24
-0.0489,-0.24,-0.24
-0.0488,-0.24,-0.24
-0.0487,-0.28,-0.28
-0.0486,-0.28,-0.28
-0.0485,-0.28,-0.28
-0.0484,-0.32,-0.32
-0.0483,-0.28,-0.28
-0.0482,-0.32,-0.32
-0.0481,-0.32,-0.32
-0.048,-0.32,-0.36
-0.0479,-0.36,-0.36
-0.0478,-0.36,-0.36
-0.0477,-0.32,-0.36
-0.0476,-0.4,-0.4
-0.0475,-0.4,-0.4
-0.0474,-0.4,-0.4
-0.0473,-0.44,-0.4
-0.0472,-0.4,-0.44
-0.0471,-0.44,-0.4
-0.047,-0.44,-0.44
-0.0469,-0.44,-0.48
-0.0468,-0.44,-0.48
-0.0467,-0.48,-0.48
-0.0466,-0.48,-0.48
-0.0465,-0.48,-0.48
-0.0464,-0.52,-0.52
-0.0463,-0.52,-0.52
-0.0462,-0.56,-0.56
-0.0461,-0.52,-0.56
-0.046,-0.52,-0.56
-0.0459,-0.56,-0.52
-0.0458,-0.56,-0.56
-0.0457,-0.6,-0.56
-0.0456,-0.6,-0.56
-0.0455,-0.64,-0.6
-0.0454,-0.6,-0.6
-0.0453,-0.6,-0.6
-0.0452,-0.64,-0.6
-0.0451,-0.64,-0.64
-0.045,-0.68,-0.64
-0.0449,-0.68,-0.64
-0.0448,-0.64,-0.68
-0.0447,-0.68,-0.68
-0.0446,-0.72,-0.68
-0.0445,-0.72,-0.68
-0.0444,-0.72,-0.68
-0.0443,-0.72,-0.72
-0.0442,-0.72,-0.72
-0.0441,-0.76,-0.72
-0.044,-0.72,-0.76
-0.0439,-0.76,-0.72
-0.0438,-0.76,-0.76
-0.0437,-0.8,-0.76
-0.0436,-0.8,-0.8
-0.0435,-0.8,-0.8
-0.0434,-0.8,-0.8
-0.0433,-0.84,-0.84
-0.0432,-0.84,-0.84
-0.0431,-0.84,-0.84
-0.043,-0.84,-0.84
-0.0429,-0.88,-0.84
-0.0428,-0.84,-0.88
-0.0427,-0.88,-0.88
-0.0426,-0.88,-0.88
-0.0425,-0.92,-0.88
-0.0424,-0.92,-0.88
-0.0423,-0.92,-0.92
-0.0422,-0.92,-0.92
-0.0421,-0.92,-0.92
-0.042,-0.96,-0.96
-0.0419,-0.96,-0.96
-0.0418,-0.96,-0.96
-0.0417,-0.96,-0.96
-0.0416,-1,-1
-0.0415,-1,-0.96
-0.0414,-1,-1
-0.0413,-1.04,-1
-0.0412,-1.04,-1.04
-0.0411,-1.04,-1
-0.041,-1.08,-1.08
-0.0409,-1.08,-1.04
-0.0408,-1.08,-1.04
-0.0407,-1.08,-1.08
-0.0406,-1.08,-1.08
-0.0405,-1.12,-1.12
-0.0404,-1.12,-1.08
-0.0403,-1.12,-1.12
-0.0402,-1.12,-1.12
-0.0401,-1.12,-1.16
-0.04,-1.16,-1.12
-0.0399,-1.16,-1.16
-0.0398,-1.16,-1.16
-0.0397,-1.16,-1.16
-0.0396,-1.2,-1.16
-0.0395,-1.2,-1.16
-0.0394,-1.2,-1.2
-0.0393,-1.2,-1.24
-0.0392,-1.24,-1.24
-0.0391,-1.24,-1.24
-0.039,-1.24,-1.24
-0.0389,-1.28,-1.24
-0.0388,-1.28,-1.28
-0.0387,-1.28,-1.28
-0.0386,-1.28,-1.28
-0.0385,-1.32,-1.32
-0.0384,-1.32,-1.32
-0.0383,-1.32,-1.32
-0.0382,-1.32,-1.32
-0.0381,-1.32,-1.32
-0.038,-1.36,-1.36
-0.0379,-1.36,-1.32
-0.0378,-1.4,-1.36
-0.0377,-1.4,-1.36
-0.0376,-1.4,-1.4
-0.0375,-1.44,-1.4
-0.0374,-1.44,-1.4
-0.0373,-1.44,-1.44
-0.0372,-1.44,-1.4
-0.0371,-1.44,-1.44
-0.037,-1.48,-1.44
-0.0369,-1.48,-1.44
-0.0368,-1.48,-1.48
-0.0367,-1.48,-1.44
-0.0366,-1.48,-1.48
-0.0365,-1.52,-1.48
-0.0364,-1.52,-1.52
-0.0363,-1.56,-1.52
-0.0362,-1.52,-1.52
-0.0361,-1.52,-1.52
-0.036,-1.56,-1.56
-0.0359,-1.56,-1.56
-0.0358,-1.6,-1.56
-0.0357,-1.6,-1.56
-0.0356,-1.6,-1.6
-0.0355,-1.6,-1.56
-0.0354,-1.6,-1.64
-0.0353,-1.6,-1.64
-0.0352,-1.64,-1.64
-0.0351,-1.64,-1.64
-0.035,-1.64,-1.68
-0.0349,-1.64,-1.68
-0.0348,-1.72,-1.68
-0.0347,-1.68,-1.68
-0.0346,-1.68,-1.68
-0.0345,-1.72,-1.72
-0.0344,-1.72,-1.72
